iter	MultiClass
0	4.628735848
1	4.594419548
2	4.561999465
3	4.529465459
4	4.499732019
5	4.468388223
6	4.43753293
7	4.40799899
8	4.380827918
9	4.34959993
10	4.319359584
11	4.289784732
12	4.259997088
13	4.221332475
14	4.191792327
15	4.163268075
16	4.133648361
17	4.107531305
18	4.077147791
19	4.049897043
20	4.025462264
21	3.997049241
22	3.966539652
23	3.940712092
24	3.911954158
25	3.885575716
26	3.860562492
27	3.833859183
28	3.807182739
29	3.787864894
30	3.769491091
31	3.744378205
32	3.718472397
33	3.693878582
34	3.668738331
35	3.645862991
36	3.621586142
37	3.606397481
38	3.58305232
39	3.55842814
40	3.537312467
41	3.513949624
42	3.490309102
43	3.471045841
44	3.44796987
45	3.424732506
46	3.411937851
47	3.390069112
48	3.36750798
49	3.346608936
50	3.325858694
51	3.30324616
52	3.281876275
53	3.261175555
54	3.240933755
55	3.219637105
56	3.198368792
57	3.177841493
58	3.156888569
59	3.136081527
60	3.123950197
61	3.103996965
62	3.08539762
63	3.065496951
64	3.045158962
65	3.025142645
66	3.00541065
67	2.985946276
68	2.968110944
69	2.948175676
70	2.930146893
71	2.913625136
72	2.895047211
73	2.876671103
74	2.857845654
75	2.839723184
76	2.822085776
77	2.80453852
78	2.786219994
79	2.769672346
80	2.752316698
81	2.734813537
82	2.717468903
83	2.701030281
84	2.684888869
85	2.668805329
86	2.651325343
87	2.634680934
88	2.61900902
89	2.602303222
90	2.586264037
91	2.570372329
92	2.554073284
93	2.537566977
94	2.521741028
95	2.506037318
96	2.491152843
97	2.476064359
98	2.46084028
99	2.44637951
100	2.431413453
101	2.416581649
102	2.402294247
103	2.388263273
104	2.373525743
105	2.359224119
106	2.344562749
107	2.330538661
108	2.31591179
109	2.301401778
110	2.288595398
111	2.273745284
112	2.260148843
113	2.246177874
114	2.232290284
115	2.218637455
116	2.206857737
117	2.194755909
118	2.182084441
119	2.1688708
120	2.158450494
121	2.145018716
122	2.133460149
123	2.120733228
124	2.109571325
125	2.097100832
126	2.083894018
127	2.072193785
128	2.060177333
129	2.051032714
130	2.038117224
131	2.026471835
132	2.014978506
133	2.003590945
134	1.991779368
135	1.981474534
136	1.97126564
137	1.959219246
138	1.948740844
139	1.937689561
140	1.927467409
141	1.916349918
142	1.904676363
143	1.894091089
144	1.883491467
145	1.87253482
146	1.861429714
147	1.85108448
148	1.84096316
149	1.830842615
150	1.820809132
151	1.81146951
152	1.801783182
153	1.791781336
154	1.781724303
155	1.772435074
156	1.762883288
157	1.753369209
158	1.743338041
159	1.734036622
160	1.725125875
161	1.716073064
162	1.70702989
163	1.699158737
164	1.690342695
165	1.68154153
166	1.672642595
167	1.664185713
168	1.655370126
169	1.647495078
170	1.639067846
171	1.630597469
172	1.621264433
173	1.61199916
174	1.603832831
175	1.595739761
176	1.58798315
177	1.579961797
178	1.571781755
179	1.564132623
180	1.556945101
181	1.550474713
182	1.541792135
183	1.53544686
184	1.528608784
185	1.52012565
186	1.512261272
187	1.505716001
188	1.498404658
189	1.491105576
190	1.484240392
191	1.476790295
192	1.469117538
193	1.462330188
194	1.45515162
195	1.448562953
196	1.440919414
197	1.435002698
198	1.427880607
199	1.421339039
200	1.415318945
201	1.408950266
202	1.402615873
203	1.395211347
204	1.388629217
205	1.38221145
206	1.375904779
207	1.369829778
208	1.363602437
209	1.357168714
210	1.350981184
211	1.344597438
212	1.338691127
213	1.33251476
214	1.326649661
215	1.322069461
216	1.316078503
217	1.309374604
218	1.303500254
219	1.297574075
220	1.292101879
221	1.286564747
222	1.280746922
223	1.275015511
224	1.270615413
225	1.26539597
226	1.260513111
227	1.255300319
228	1.250500178
229	1.245225001
230	1.239929852
231	1.234682368
232	1.229845608
233	1.224917361
234	1.219580129
235	1.214633976
236	1.209662083
237	1.20462434
238	1.200062948
239	1.195673426
240	1.19090579
241	1.186935761
242	1.182164267
243	1.177036598
244	1.172620278
245	1.168643429
246	1.163394722
247	1.159357384
248	1.15520937
249	1.150275692
250	1.145526029
251	1.141329317
252	1.136764684
253	1.13214734
254	1.127918576
255	1.124361724
256	1.120129421
257	1.115592249
258	1.111989764
259	1.107976913
260	1.104329334
261	1.100302037
262	1.096426841
263	1.092286585
264	1.088297164
265	1.084308925
266	1.080921125
267	1.076748025
268	1.073207295
269	1.069337505
270	1.065275205
271	1.061019278
272	1.057508608
273	1.054002851
274	1.049799107
275	1.046366679
276	1.043054842
277	1.039050098
278	1.035553123
279	1.032032572
280	1.028807806
281	1.025025614
282	1.020994753
283	1.017674177
284	1.01398002
285	1.011240373
286	1.008024939
287	1.005107613
288	1.00158456
289	0.9985407868
290	0.9956941123
291	0.9925013175
292	0.9887421232
293	0.985427152
294	0.9825127127
295	0.9796114014
296	0.9767337498
297	0.9736077785
298	0.9707598184
299	0.9673011435
300	0.9644202187
301	0.9614745996
302	0.9581841098
303	0.9562537038
304	0.9531234177
305	0.9502720611
306	0.9472831187
307	0.9441334441
308	0.9413886992
309	0.9389090331
310	0.9360730852
311	0.93333879
312	0.9302390886
313	0.927410967
314	0.9242199283
315	0.9210408464
316	0.9185543055
317	0.9161484871
318	0.9134781171
319	0.9107425205
320	0.9080804648
321	0.9053953604
322	0.9027484972
323	0.9001588579
324	0.8976399562
325	0.8949896556
326	0.8921088004
327	0.8896992374
